Geneid	H_Ctrl_1	H_Ctrl_2	H_Ctrl_3	H_0.5_1.6HD_1	H_0.5_1.6HD_2	H_0.5_1.6HD_3	H_1_1.6HD_1	H_1_1.6HD_2	H_1_1.6HD_3
ENSG00000223972	0	0	0	0	0	0	0	0	0
ENSG00000227232	97	94	159	207	102	109	195	138	108
ENSG00000278267	13	15	14	28	16	10	11	18	17
ENSG00000243485	0	1	0	0	0	0	0	1	0
ENSG00000284332	0	0	0	0	0	0	0	0	0
ENSG00000237613	0	0	0	0	0	0	0	0	0
ENSG00000268020	0	0	0	0	0	0	0	0	0
ENSG00000240361	0	0	0	0	0	0	0	0	0
ENSG00000186092	1	0	1	0	0	0	0	0	0
ENSG00000238009	5	8	3	4	7	0	4	2	5
ENSG00000239945	0	0	0	0	0	0	0	0	0
ENSG00000233750	4	3	4	3	1	3	1	0	0
ENSG00000268903	0	0	2	0	0	1	0	0	0
ENSG00000269981	1	2	1	0	1	1	2	1	2
ENSG00000239906	0	0	0	0	0	0	0	0	0
ENSG00000241860	0	1	2	1	1	1	2	1	2
ENSG00000222623	3	2	2	1	0	1	1	2	0
ENSG00000241599	0	0	0	0	0	0	0	0	0
ENSG00000279928	0	0	0	0	1	0	0	0	0
ENSG00000279457	138	123	146	130	149	190	138	161	183
ENSG00000273874	1	0	0	0	0	0	0	0	0
ENSG00000228463	44	30	36	25	34	32	41	41	29
ENSG00000286448	0	0	0	0	0	0	2	1	2
ENSG00000236679	0	0	3	3	4	6	1	4	9
ENSG00000236601	0	0	0	0	0	0	0	0	0
ENSG00000237094	33	28	31	20	22	16	13	10	7
ENSG00000269732	0	0	0	0	0	0	0	0	0
ENSG00000284733	0	0	0	0	0	0	0	0	0
ENSG00000233653	0	1	1	0	0	0	0	0	0
ENSG00000250575	0	0	0	0	0	0	0	0	0
ENSG00000278757	1	0	0	0	0	0	0	0	0
ENSG00000230021	1	1	2	1	1	5	1	2	2
ENSG00000235146	0	0	0	0	0	0	1	0	0
ENSG00000225972	2	1	1	2	2	0	1	2	0
ENSG00000225630	1140	1104	1323	1033	1445	1044	365	708	501
ENSG00000237973	107	112	130	122	99	86	60	48	54
ENSG00000278791	0	0	0	0	0	0	0	0	0
ENSG00000229344	2	0	3	6	2	1	2	1	0
ENSG00000240409	1	1	2	0	0	2	0	0	0
ENSG00000248527	13903	11781	15778	14052	11622	13405	5276	7610	6274
ENSG00000198744	5	4	4	3	3	5	2	2	3
ENSG00000268663	0	0	0	0	0	0	0	0	0
ENSG00000284662	0	0	0	0	0	0	0	0	0
ENSG00000229376	1	0	1	2	3	1	5	2	2
ENSG00000228327	44	21	40	25	21	21	34	39	21
ENSG00000223181	0	0	0	0	0	0	0	0	0
ENSG00000229905	0	0	0	0	0	0	0	0	0
ENSG00000237491	31	31	36	33	42	37	78	85	57
ENSG00000285268	0	0	0	0	0	0	0	0	0
ENSG00000230092	6	9	7	13	6	9	10	13	10
ENSG00000177757	2	5	2	4	2	5	4	8	3
ENSG00000228794	134	95	134	150	165	140	109	135	127
ENSG00000225880	5	10	12	10	16	15	15	11	11
ENSG00000288531	0	0	0	0	0	0	0	0	0
ENSG00000230368	0	1	0	0	0	0	0	0	0
ENSG00000234711	0	3	2	1	3	4	0	1	3
ENSG00000283040	0	0	0	0	0	0	0	0	0
ENSG00000272438	8	14	18	10	5	9	4	3	4
ENSG00000230699	96	65	97	87	50	80	28	40	32
ENSG00000241180	1	4	2	2	3	0	1	1	1
ENSG00000223764	298	298	279	445	425	445	76	101	71
ENSG00000187634	159	132	159	297	250	240	127	155	130
ENSG00000188976	3614	3350	3778	2573	2874	2581	1537	2179	1617
ENSG00000187961	58	51	29	52	34	53	44	41	41
ENSG00000187583	89	92	97	85	77	57	30	34	30
ENSG00000187642	40	27	26	39	32	45	11	8	10
ENSG00000272512	0	0	1	0	0	1	1	0	3
ENSG00000188290	60	58	51	29	43	26	15	25	36
ENSG00000187608	12	23	19	19	16	6	13	14	13
ENSG00000231702	2	0	2	1	0	1	0	0	1
ENSG00000224969	1	0	1	0	0	0	2	0	1
ENSG00000188157	2193	1891	2166	1727	1661	1621	870	1072	1044
ENSG00000242590	0	0	0	0	0	0	0	0	0
ENSG00000217801	132	155	138	136	84	127	124	90	115
ENSG00000273443	1	2	3	3	2	0	0	0	0
ENSG00000237330	113	92	129	53	31	44	20	16	18
ENSG00000131591	142	138	147	149	124	160	76	62	57
ENSG00000285812	19	13	19	10	4	8	2	4	2
ENSG00000223823	0	2	1	1	0	1	0	0	0
ENSG00000207730	0	0	0	1	0	0	0	1	2
ENSG00000207607	0	1	1	1	0	1	0	0	1
ENSG00000198976	1	3	0	0	1	0	2	0	1
ENSG00000272141	19	19	19	22	12	17	4	7	6
ENSG00000205231	0	6	2	2	0	1	0	0	1
ENSG00000162571	18	5	8	10	7	9	9	11	6
ENSG00000186891	9	9	8	5	7	7	6	10	6
ENSG00000186827	3	3	4	4	1	2	7	1	2
ENSG00000078808	3395	3323	3536	3120	3347	3035	2191	2889	2249
ENSG00000176022	325	283	334	474	319	485	85	84	110
ENSG00000184163	7	5	8	7	2	5	4	2	5
ENSG00000260179	1	2	3	0	2	1	0	6	1
ENSG00000160087	521	432	476	456	511	402	439	558	444
ENSG00000230415	17	7	27	15	15	8	9	5	8
ENSG00000162572	52	50	39	43	30	48	19	26	33
ENSG00000131584	638	624	645	700	733	632	542	554	489
ENSG00000278073	0	0	0	0	0	0	0	0	0
ENSG00000169972	84	75	92	78	74	65	30	45	40
ENSG00000127054	961	851	848	855	765	717	377	570	449
ENSG00000283712	0	0	0	0	0	0	0	0	0
ENSG00000240731	44	28	34	40	40	40	21	18	12
ENSG00000224051	116	118	124	162	129	143	102	158	121
ENSG00000169962	50	39	51	25	22	33	12	26	20
ENSG00000107404	357	328	355	370	338	351	251	302	261
ENSG00000284372	0	0	0	0	0	0	0	0	0
ENSG00000162576	456	382	454	498	310	414	123	133	137
ENSG00000175756	886	823	931	764	843	626	455	765	499
ENSG00000223663	0	0	0	0	0	0	0	1	0
ENSG00000221978	1728	1640	1738	1726	1528	1540	1061	1327	1042
ENSG00000224870	258	254	269	287	389	266	134	203	160
ENSG00000242485	530	568	572	503	516	406	257	411	251
ENSG00000264293	0	0	0	0	0	0	0	0	0
ENSG00000272455	10	11	10	13	20	10	12	23	10
ENSG00000235098	4	0	8	6	4	6	6	2	2
ENSG00000225905	3	4	2	6	0	7	2	0	7
ENSG00000205116	2	0	1	4	1	1	0	0	3
ENSG00000225285	34	42	33	41	30	40	6	10	6
ENSG00000179403	431	392	452	507	400	471	127	133	132
ENSG00000215915	30	34	28	104	50	75	69	65	63
ENSG00000160072	186	179	220	101	119	114	140	126	111
ENSG00000284740	2	4	2	5	5	4	5	4	1
ENSG00000197785	821	702	806	304	543	368	276	352	254
ENSG00000205090	3	6	2	1	2	2	3	4	5
ENSG00000160075	1490	1440	1424	1376	1489	1124	1127	1589	1104
ENSG00000215014	4	1	4	3	1	2	1	6	1
ENSG00000274481	0	0	0	0	0	0	0	0	0
ENSG00000228594	1	0	0	1	1	4	0	1	0
ENSG00000286989	1	0	0	0	0	0	0	0	0
ENSG00000272106	18	18	11	22	18	18	5	11	7
ENSG00000197530	154	159	192	239	197	190	106	122	122
