Geneid	sgNC-1	sgNC-2	sgNC-3	sgZHX2-1	sgZHX2-2	sgZHX2-3	teton-sgcontrol-1	teton-sgcontrol-2	teton-sgcontrol-3	teton-sgZHX2-1	teton-sgZHX2-2	teton-sgZHX2-3
ENSG00000223972	0	1	0	1	1	0	1	0	0	0	0	0
ENSG00000227232	59	101	74	117	98	116	85	129	116	135	103	94
ENSG00000278267	2	6	2	1	5	2	1	1	2	1	0	3
ENSG00000243485	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284332	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237613	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000268020	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240361	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000186092	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238009	0	1	1	0	0	1	1	0	0	1	0	0
ENSG00000239945	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233750	1	4	3	1	0	2	2	2	3	1	3	3
ENSG00000268903	19	19	20	24	14	19	33	30	20	15	19	18
ENSG00000269981	35	28	33	18	17	29	25	29	20	24	28	26
ENSG00000239906	0	0	0	1	0	0	1	0	1	0	0	0
ENSG00000241860	3	0	1	0	0	4	2	2	2	0	0	1
ENSG00000222623	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000241599	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000279928	0	0	1	1	0	1	0	0	0	1	0	0
ENSG00000279457	192	205	221	300	248	321	224	199	179	263	313	222
ENSG00000273874	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228463	15	12	13	12	15	25	10	14	9	30	19	13
ENSG00000286448	0	0	0	1	0	0	0	1	0	0	0	0
ENSG00000236679	0	0	0	0	0	0	0	1	1	0	0	0
ENSG00000236601	1	1	1	1	1	0	0	3	1	17	3	2
ENSG00000237094	22	27	30	13	7	19	19	16	22	17	9	13
ENSG00000269732	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284733	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233653	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000250575	2	0	0	1	2	0	0	0	0	2	1	0
ENSG00000278757	0	2	2	0	0	0	2	0	0	0	2	0
ENSG00000230021	1	1	2	1	6	5	6	8	1	4	6	7
ENSG00000235146	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225972	1	0	0	1	1	2	0	2	1	1	0	0
ENSG00000225630	340	358	321	438	438	506	554	591	398	468	560	360
ENSG00000237973	133	131	134	101	98	120	183	185	177	114	104	95
ENSG00000278791	0	0	0	0	0	0	0	0	0	0	0	0
