Geneid	N.shCtrl_1	N.shCtrl_2	N.shCtrl_3	H.shCtrl_1	H.shCtrl_2	H.shCtrl_3	H.shZHX2_1	H.shZHX2_2	H.shZHX2_3
ENSG00000223972	0	0	0	0	0	0	0	0	0
ENSG00000227232	90	82	90	88	123	99	173	189	154
ENSG00000278267	1	2	1	4	2	2	1	2	1
ENSG00000243485	0	0	0	0	0	0	0	0	0
ENSG00000284332	0	0	0	0	0	0	0	0	0
ENSG00000237613	0	0	0	0	0	0	0	0	0
ENSG00000268020	0	0	0	0	0	0	0	0	0
ENSG00000240361	0	0	0	0	0	0	0	0	0
ENSG00000186092	0	0	0	0	0	0	0	0	0
ENSG00000238009	0	0	0	0	0	0	0	0	2
ENSG00000239945	0	0	0	0	0	0	0	0	0
ENSG00000233750	1	0	2	0	0	2	4	6	1
ENSG00000268903	17	20	11	16	22	36	21	21	27
ENSG00000269981	20	18	16	19	17	19	23	27	21
ENSG00000239906	0	0	0	0	0	0	0	0	1
ENSG00000241860	0	0	0	0	0	10	1	5	2
ENSG00000222623	1	0	0	0	0	0	0	0	0
ENSG00000241599	0	0	0	0	0	0	0	0	0
ENSG00000279928	0	0	0	1	0	0	0	0	0
ENSG00000279457	186	188	219	235	212	256	301	346	311
ENSG00000273874	0	0	0	0	0	0	0	0	0
ENSG00000228463	0	6	5	5	5	4	8	12	6
ENSG00000286448	0	0	0	0	0	0	0	0	0
ENSG00000236679	0	1	1	0	1	1	0	1	0
ENSG00000236601	0	0	0	0	0	0	0	0	0
ENSG00000237094	4	4	8	6	6	4	5	14	13
ENSG00000269732	0	0	0	0	0	0	0	0	0
ENSG00000284733	0	0	0	0	0	0	0	0	0
ENSG00000233653	0	0	0	0	0	0	0	0	0
ENSG00000250575	1	1	2	0	0	1	3	1	2
ENSG00000278757	0	0	0	0	0	0	0	0	0
ENSG00000230021	5	10	6	0	1	5	5	4	1
ENSG00000235146	0	0	0	0	0	0	0	0	0
ENSG00000225972	2	4	2	6	1	8	3	1	3
ENSG00000225630	2026	1973	2058	2109	2273	2248	2555	2597	2710
ENSG00000237973	427	422	460	1228	1259	1483	1828	1772	1460
ENSG00000278791	0	0	0	0	0	0	0	0	0
ENSG00000229344	4	1	2	1	2	1	10	3	8
ENSG00000240409	0	0	0	0	0	1	3	2	5
ENSG00000248527	3301	3388	3650	3975	4485	5285	5774	5941	5726
ENSG00000198744	5	5	3	1	7	10	3	3	7
ENSG00000268663	0	0	0	0	0	0	0	0	0
ENSG00000284662	0	0	0	0	0	0	0	0	0
ENSG00000229376	0	0	0	0	0	1	3	1	2
ENSG00000228327	52	40	49	40	25	41	42	36	45
ENSG00000223181	0	0	0	0	0	0	0	0	0
ENSG00000229905	0	0	0	0	0	0	0	0	0
ENSG00000237491	4	12	6	0	3	2	6	16	13
ENSG00000285268	0	0	0	0	0	0	0	0	0
ENSG00000230092	0	1	4	3	1	2	4	2	0
ENSG00000177757	2	1	1	1	2	2	9	6	5
